,album_group,album_type,artists,external_urls,href,id,images,name,release_date,release_date_precision,total_tracks,type,uri
0,album,album,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4jpaXieuls7LVzG1uma5Rs'}, 'href': 'https://api.spotify.com/v1/artists/4jpaXieuls7LVzG1uma5Rs', 'id': '4jpaXieuls7LVzG1uma5Rs', 'name': 'Avatar', 'type': 'artist', 'uri': 'spotify:artist:4jpaXieuls7LVzG1uma5Rs'}]",{'spotify': 'https://open.spotify.com/album/1wYNYDVU4quOX6BqL8o3nW'},https://api.spotify.com/v1/albums/1wYNYDVU4quOX6BqL8o3nW,1wYNYDVU4quOX6BqL8o3nW,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273620446df4a72f470ad56ad1d', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02620446df4a72f470ad56ad1d', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851620446df4a72f470ad56ad1d', 'width': 64}]",Hunter Gatherer,2020-08-07,day,10,album,spotify:album:1wYNYDVU4quOX6BqL8o3nW
1,album,album,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4jpaXieuls7LVzG1uma5Rs'}, 'href': 'https://api.spotify.com/v1/artists/4jpaXieuls7LVzG1uma5Rs', 'id': '4jpaXieuls7LVzG1uma5Rs', 'name': 'Avatar', 'type': 'artist', 'uri': 'spotify:artist:4jpaXieuls7LVzG1uma5Rs'}]",{'spotify': 'https://open.spotify.com/album/7weVNJpOYNUITCk7gIgA6R'},https://api.spotify.com/v1/albums/7weVNJpOYNUITCk7gIgA6R,7weVNJpOYNUITCk7gIgA6R,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27345f436975b513a217e12ba4a', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e0245f436975b513a217e12ba4a', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d0000485145f436975b513a217e12ba4a', 'width': 64}]",The King Live in Paris,2019-05-17,day,11,album,spotify:album:7weVNJpOYNUITCk7gIgA6R
2,album,album,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4jpaXieuls7LVzG1uma5Rs'}, 'href': 'https://api.spotify.com/v1/artists/4jpaXieuls7LVzG1uma5Rs', 'id': '4jpaXieuls7LVzG1uma5Rs', 'name': 'Avatar', 'type': 'artist', 'uri': 'spotify:artist:4jpaXieuls7LVzG1uma5Rs'}]",{'spotify': 'https://open.spotify.com/album/4n3K2YQ2TYUppYdXN2xDFY'},https://api.spotify.com/v1/albums/4n3K2YQ2TYUppYdXN2xDFY,4n3K2YQ2TYUppYdXN2xDFY,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273cba0961eda833203251cffaa', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02cba0961eda833203251cffaa', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851cba0961eda833203251cffaa', 'width': 64}]",Avatar Country,2018-01-12,day,10,album,spotify:album:4n3K2YQ2TYUppYdXN2xDFY
3,album,album,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4jpaXieuls7LVzG1uma5Rs'}, 'href': 'https://api.spotify.com/v1/artists/4jpaXieuls7LVzG1uma5Rs', 'id': '4jpaXieuls7LVzG1uma5Rs', 'name': 'Avatar', 'type': 'artist', 'uri': 'spotify:artist:4jpaXieuls7LVzG1uma5Rs'}]",{'spotify': 'https://open.spotify.com/album/7xmJI6MiYYX5vSt6fjjQ8x'},https://api.spotify.com/v1/albums/7xmJI6MiYYX5vSt6fjjQ8x,7xmJI6MiYYX5vSt6fjjQ8x,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27376ee30795dd65c2e3a3048de', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e0276ee30795dd65c2e3a3048de', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d0000485176ee30795dd65c2e3a3048de', 'width': 64}]",Feathers & Flesh (In His Own Words),2017-06-02,day,29,album,spotify:album:7xmJI6MiYYX5vSt6fjjQ8x
4,album,album,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4jpaXieuls7LVzG1uma5Rs'}, 'href': 'https://api.spotify.com/v1/artists/4jpaXieuls7LVzG1uma5Rs', 'id': '4jpaXieuls7LVzG1uma5Rs', 'name': 'Avatar', 'type': 'artist', 'uri': 'spotify:artist:4jpaXieuls7LVzG1uma5Rs'}]",{'spotify': 'https://open.spotify.com/album/3crsSMCzFAPCWoJBtxpxiX'},https://api.spotify.com/v1/albums/3crsSMCzFAPCWoJBtxpxiX,3crsSMCzFAPCWoJBtxpxiX,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273d55bd1b72907823f71e7a07a', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02d55bd1b72907823f71e7a07a', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851d55bd1b72907823f71e7a07a', 'width': 64}]",Feathers & Flesh (Bonus Track version),2016-05-13,day,16,album,spotify:album:3crsSMCzFAPCWoJBtxpxiX
5,album,album,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4jpaXieuls7LVzG1uma5Rs'}, 'href': 'https://api.spotify.com/v1/artists/4jpaXieuls7LVzG1uma5Rs', 'id': '4jpaXieuls7LVzG1uma5Rs', 'name': 'Avatar', 'type': 'artist', 'uri': 'spotify:artist:4jpaXieuls7LVzG1uma5Rs'}]",{'spotify': 'https://open.spotify.com/album/1BVgOhhvwxqGGIwnebDlyC'},https://api.spotify.com/v1/albums/1BVgOhhvwxqGGIwnebDlyC,1BVgOhhvwxqGGIwnebDlyC,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273d9960886680a4b2077429193', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02d9960886680a4b2077429193', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851d9960886680a4b2077429193', 'width': 64}]",Hail The Apocalypse,2014-05-13,day,11,album,spotify:album:1BVgOhhvwxqGGIwnebDlyC
6,album,album,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4jpaXieuls7LVzG1uma5Rs'}, 'href': 'https://api.spotify.com/v1/artists/4jpaXieuls7LVzG1uma5Rs', 'id': '4jpaXieuls7LVzG1uma5Rs', 'name': 'Avatar', 'type': 'artist', 'uri': 'spotify:artist:4jpaXieuls7LVzG1uma5Rs'}]",{'spotify': 'https://open.spotify.com/album/45Wmypcm043M0hZI12Gm1p'},https://api.spotify.com/v1/albums/45Wmypcm043M0hZI12Gm1p,45Wmypcm043M0hZI12Gm1p,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273c21e4170ca0be106a1f491bf', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02c21e4170ca0be106a1f491bf', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851c21e4170ca0be106a1f491bf', 'width': 64}]",The Black Waltz,2012-02-14,day,11,album,spotify:album:45Wmypcm043M0hZI12Gm1p
7,album,album,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4jpaXieuls7LVzG1uma5Rs'}, 'href': 'https://api.spotify.com/v1/artists/4jpaXieuls7LVzG1uma5Rs', 'id': '4jpaXieuls7LVzG1uma5Rs', 'name': 'Avatar', 'type': 'artist', 'uri': 'spotify:artist:4jpaXieuls7LVzG1uma5Rs'}]",{'spotify': 'https://open.spotify.com/album/1zyfStSR4jNT1sUAes8YPX'},https://api.spotify.com/v1/albums/1zyfStSR4jNT1sUAes8YPX,1zyfStSR4jNT1sUAes8YPX,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2735ca60ffad74058e7938e0bfd', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e025ca60ffad74058e7938e0bfd', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048515ca60ffad74058e7938e0bfd', 'width': 64}]",Avatar,2009-11-06,day,10,album,spotify:album:1zyfStSR4jNT1sUAes8YPX
8,album,album,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4jpaXieuls7LVzG1uma5Rs'}, 'href': 'https://api.spotify.com/v1/artists/4jpaXieuls7LVzG1uma5Rs', 'id': '4jpaXieuls7LVzG1uma5Rs', 'name': 'Avatar', 'type': 'artist', 'uri': 'spotify:artist:4jpaXieuls7LVzG1uma5Rs'}]",{'spotify': 'https://open.spotify.com/album/4FAGuKDme4vmp3S6XPtLYj'},https://api.spotify.com/v1/albums/4FAGuKDme4vmp3S6XPtLYj,4FAGuKDme4vmp3S6XPtLYj,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273bae3e1aadc02a0156a427a27', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02bae3e1aadc02a0156a427a27', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851bae3e1aadc02a0156a427a27', 'width': 64}]",Schlacht,2009-05-07,day,12,album,spotify:album:4FAGuKDme4vmp3S6XPtLYj
9,album,album,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4jpaXieuls7LVzG1uma5Rs'}, 'href': 'https://api.spotify.com/v1/artists/4jpaXieuls7LVzG1uma5Rs', 'id': '4jpaXieuls7LVzG1uma5Rs', 'name': 'Avatar', 'type': 'artist', 'uri': 'spotify:artist:4jpaXieuls7LVzG1uma5Rs'}]",{'spotify': 'https://open.spotify.com/album/3JiiCA2PMaQmY7q5HgqPHi'},https://api.spotify.com/v1/albums/3JiiCA2PMaQmY7q5HgqPHi,3JiiCA2PMaQmY7q5HgqPHi,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27311025a4f13bc463507f5e325', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e0211025a4f13bc463507f5e325', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d0000485111025a4f13bc463507f5e325', 'width': 64}]",Thoughts of No Tomorrow,2006,year,11,album,spotify:album:3JiiCA2PMaQmY7q5HgqPHi
