,album_group,album_type,artists,external_urls,href,id,images,name,release_date,release_date_precision,total_tracks,type,uri
0,album,album,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1Yox196W7bzVNZI7RBaPnf'}, 'href': 'https://api.spotify.com/v1/artists/1Yox196W7bzVNZI7RBaPnf', 'id': '1Yox196W7bzVNZI7RBaPnf', 'name': 'Megadeth', 'type': 'artist', 'uri': 'spotify:artist:1Yox196W7bzVNZI7RBaPnf'}]",{'spotify': 'https://open.spotify.com/album/58p5IFT7CEcMHSrAIuO5DJ'},https://api.spotify.com/v1/albums/58p5IFT7CEcMHSrAIuO5DJ,58p5IFT7CEcMHSrAIuO5DJ,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273b273106fbf562e1131ccc790', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02b273106fbf562e1131ccc790', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851b273106fbf562e1131ccc790', 'width': 64}]",Warheads On Foreheads,2019-03-22,day,35,album,spotify:album:58p5IFT7CEcMHSrAIuO5DJ
1,album,album,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1Yox196W7bzVNZI7RBaPnf'}, 'href': 'https://api.spotify.com/v1/artists/1Yox196W7bzVNZI7RBaPnf', 'id': '1Yox196W7bzVNZI7RBaPnf', 'name': 'Megadeth', 'type': 'artist', 'uri': 'spotify:artist:1Yox196W7bzVNZI7RBaPnf'}]",{'spotify': 'https://open.spotify.com/album/1fQP14KigA58xjlYNf4Uac'},https://api.spotify.com/v1/albums/1fQP14KigA58xjlYNf4Uac,1fQP14KigA58xjlYNf4Uac,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27372621d5c46ae77b62d5b56e8', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e0272621d5c46ae77b62d5b56e8', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d0000485172621d5c46ae77b62d5b56e8', 'width': 64}]",Killing Is My Business...And Business Is Good - The Final Kill,2018-06-08,day,18,album,spotify:album:1fQP14KigA58xjlYNf4Uac
2,album,album,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1Yox196W7bzVNZI7RBaPnf'}, 'href': 'https://api.spotify.com/v1/artists/1Yox196W7bzVNZI7RBaPnf', 'id': '1Yox196W7bzVNZI7RBaPnf', 'name': 'Megadeth', 'type': 'artist', 'uri': 'spotify:artist:1Yox196W7bzVNZI7RBaPnf'}]",{'spotify': 'https://open.spotify.com/album/4sP7CAPrmdBD1ojBBrPxiV'},https://api.spotify.com/v1/albums/4sP7CAPrmdBD1ojBBrPxiV,4sP7CAPrmdBD1ojBBrPxiV,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273db38819ff1e73809f8be6107', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02db38819ff1e73809f8be6107', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851db38819ff1e73809f8be6107', 'width': 64}]",Dystopia,2016-01-22,day,12,album,spotify:album:4sP7CAPrmdBD1ojBBrPxiV
3,album,album,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1Yox196W7bzVNZI7RBaPnf'}, 'href': 'https://api.spotify.com/v1/artists/1Yox196W7bzVNZI7RBaPnf', 'id': '1Yox196W7bzVNZI7RBaPnf', 'name': 'Megadeth', 'type': 'artist', 'uri': 'spotify:artist:1Yox196W7bzVNZI7RBaPnf'}]",{'spotify': 'https://open.spotify.com/album/0vf3fKamMi3yfjApyZaAE1'},https://api.spotify.com/v1/albums/0vf3fKamMi3yfjApyZaAE1,0vf3fKamMi3yfjApyZaAE1,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273540abdecd854415dc18961b2', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02540abdecd854415dc18961b2', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851540abdecd854415dc18961b2', 'width': 64}]",Countdown To Extinction: Live,2013-01-01,day,17,album,spotify:album:0vf3fKamMi3yfjApyZaAE1
4,album,album,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1Yox196W7bzVNZI7RBaPnf'}, 'href': 'https://api.spotify.com/v1/artists/1Yox196W7bzVNZI7RBaPnf', 'id': '1Yox196W7bzVNZI7RBaPnf', 'name': 'Megadeth', 'type': 'artist', 'uri': 'spotify:artist:1Yox196W7bzVNZI7RBaPnf'}]",{'spotify': 'https://open.spotify.com/album/4SG1HFhXihESspVTyKYl5j'},https://api.spotify.com/v1/albums/4SG1HFhXihESspVTyKYl5j,4SG1HFhXihESspVTyKYl5j,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273872b0074ecb6b93ff5676093', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02872b0074ecb6b93ff5676093', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851872b0074ecb6b93ff5676093', 'width': 64}]",Super Collider,2013-01-01,day,11,album,spotify:album:4SG1HFhXihESspVTyKYl5j
5,album,album,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1Yox196W7bzVNZI7RBaPnf'}, 'href': 'https://api.spotify.com/v1/artists/1Yox196W7bzVNZI7RBaPnf', 'id': '1Yox196W7bzVNZI7RBaPnf', 'name': 'Megadeth', 'type': 'artist', 'uri': 'spotify:artist:1Yox196W7bzVNZI7RBaPnf'}]",{'spotify': 'https://open.spotify.com/album/5MWip84FEFaGFhSnozRXXY'},https://api.spotify.com/v1/albums/5MWip84FEFaGFhSnozRXXY,5MWip84FEFaGFhSnozRXXY,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273802b6c6595028a358d291ec9', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02802b6c6595028a358d291ec9', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851802b6c6595028a358d291ec9', 'width': 64}]",Super Collider (Commentary),2013-01-01,day,11,album,spotify:album:5MWip84FEFaGFhSnozRXXY
6,album,album,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1Yox196W7bzVNZI7RBaPnf'}, 'href': 'https://api.spotify.com/v1/artists/1Yox196W7bzVNZI7RBaPnf', 'id': '1Yox196W7bzVNZI7RBaPnf', 'name': 'Megadeth', 'type': 'artist', 'uri': 'spotify:artist:1Yox196W7bzVNZI7RBaPnf'}]",{'spotify': 'https://open.spotify.com/album/0fWLW9j35eQTrOb8mHcnyX'},https://api.spotify.com/v1/albums/0fWLW9j35eQTrOb8mHcnyX,0fWLW9j35eQTrOb8mHcnyX,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2734be345f026469be09f12a92e', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e024be345f026469be09f12a92e', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d000048514be345f026469be09f12a92e', 'width': 64}]",Countdown To Extinction (Deluxe),2012-01-01,day,28,album,spotify:album:0fWLW9j35eQTrOb8mHcnyX
7,album,album,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1Yox196W7bzVNZI7RBaPnf'}, 'href': 'https://api.spotify.com/v1/artists/1Yox196W7bzVNZI7RBaPnf', 'id': '1Yox196W7bzVNZI7RBaPnf', 'name': 'Megadeth', 'type': 'artist', 'uri': 'spotify:artist:1Yox196W7bzVNZI7RBaPnf'}]",{'spotify': 'https://open.spotify.com/album/7CnEVIOvZSfTF2srdqjxay'},https://api.spotify.com/v1/albums/7CnEVIOvZSfTF2srdqjxay,7CnEVIOvZSfTF2srdqjxay,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273dbbbe6600a179a3bc4f696f4', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02dbbbe6600a179a3bc4f696f4', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851dbbbe6600a179a3bc4f696f4', 'width': 64}]",Th1rt3en,2011-10-26,day,13,album,spotify:album:7CnEVIOvZSfTF2srdqjxay
8,album,album,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1Yox196W7bzVNZI7RBaPnf'}, 'href': 'https://api.spotify.com/v1/artists/1Yox196W7bzVNZI7RBaPnf', 'id': '1Yox196W7bzVNZI7RBaPnf', 'name': 'Megadeth', 'type': 'artist', 'uri': 'spotify:artist:1Yox196W7bzVNZI7RBaPnf'}]",{'spotify': 'https://open.spotify.com/album/5rf7Do04kDxggZ5TOurrIJ'},https://api.spotify.com/v1/albums/5rf7Do04kDxggZ5TOurrIJ,5rf7Do04kDxggZ5TOurrIJ,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273534f925ca88f6d87784f0e09', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02534f925ca88f6d87784f0e09', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851534f925ca88f6d87784f0e09', 'width': 64}]",Rust In Peace Live (eAlbum),2010-01-01,day,16,album,spotify:album:5rf7Do04kDxggZ5TOurrIJ
9,album,album,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1Yox196W7bzVNZI7RBaPnf'}, 'href': 'https://api.spotify.com/v1/artists/1Yox196W7bzVNZI7RBaPnf', 'id': '1Yox196W7bzVNZI7RBaPnf', 'name': 'Megadeth', 'type': 'artist', 'uri': 'spotify:artist:1Yox196W7bzVNZI7RBaPnf'}]",{'spotify': 'https://open.spotify.com/album/3NGh5C6S9gPWGsnFCVhd9t'},https://api.spotify.com/v1/albums/3NGh5C6S9gPWGsnFCVhd9t,3NGh5C6S9gPWGsnFCVhd9t,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273064169b45c86ce9fc06c6983', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02064169b45c86ce9fc06c6983', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851064169b45c86ce9fc06c6983', 'width': 64}]",Endgame (2019 - Remaster),2009-09-15,day,12,album,spotify:album:3NGh5C6S9gPWGsnFCVhd9t
